EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
421021.800,414588.400,750000.100,750000.100,365761.600,340385.300,350939.200,365199.700,0.000
407079.700,400927.300,750000.100,750000.100,353834.000,329170.600,339261.800,353102.900,0.000
395843.700,389941.300,750000.100,750000.100,344098.300,320035.400,329823.900,343335.600,0.000
385996.400,380316.200,750000.100,750000.100,335493.500,311980.400,321535.700,334768.100,0.000
377244.600,371770.800,750000.100,750000.100,327789.300,304803.600,314168.900,327158.800,0.000
369424.600,364137.100,733534.800,734745.600,320878.300,298379.600,307597.200,320361.900,0.000
362383.600,357258.500,714960.400,716623.700,314651.800,292588.500,301689.200,314239.200,0.000
356000.500,351016.200,698495.000,700554.600,309012.300,287338.000,296336.200,308688.600,0.000
350164.500,345311.000,683755.800,686157.100,303842.400,282545.200,291442.700,303618.600,0.000
344809.100,340076.300,670467.900,673178.100,299094.400,278154.000,286961.500,298974.600,0.000
339892.300,335262.900,658429.900,661414.400,294739.200,274122.600,282849.000,294709.500,0.000
335353.900,330812.600,647448.900,650676.400,290725.400,270395.200,279043.600,290755.000,0.000
331141.000,326687.200,637377.100,640825.300,286995.900,266944.800,275522.800,287098.900,0.000
327223.900,322850.200,628118.800,631762.800,283522.700,263740.300,272254.000,283707.000,0.000
323576.000,319272.000,619567.700,623395.900,280297.000,260754.900,269210.400,280541.400,0.000
320176.300,315930.800,611657.300,615649.400,277303.000,257974.100,266375.100,277590.600,0.000
316991.300,312806.500,604310.800,608450.900,274497.200,255370.000,263718.300,274831.600,0.000
313997.200,309874.100,597463.700,601734.400,271847.700,252926.000,261216.800,272234.600,0.000
311195.800,307125.200,591082.100,595473.400,269368.400,250636.500,258873.600,269804.200,0.000
308574.700,304545.500,585123.000,589627.100,267062.600,248496.700,256684.900,267528.200,0.000
306105.700,302117.600,579536.100,584148.200,264890.900,246484.700,254627.200,265386.500,0.000
303762.100,299817.000,574282.400,578989.900,262817.300,244573.100,252672.900,263355.300,0.000
301562.100,297656.100,569357.400,574154.000,260875.500,242782.300,250842.000,261447.400,0.000
299499.800,295624.300,564735.400,569612.600,259070.000,241110.300,249128.400,259658.800,0.000
297544.600,293699.800,560381.900,565331.000,257363.800,239525.000,247501.700,257963.900,0.000
295678.100,291868.600,556264.400,561280.400,255720.700,238005.200,245937.800,256343.400,0.000
293918.200,290140.200,552373.600,557469.200,254170.500,236574.100,244471.100,254820.000,0.000
292264.200,288512.700,548708.100,553878.100,252718.500,235227.400,243089.500,253384.800,0.000
290699.000,286971.200,545250.600,550474.100,251350.900,233951.000,241780.300,252022.300,0.000
289208.600,285506.100,541967.300,547241.200,250039.600,232738.800,240534.600,250725.700,0.000
287795.100,284116.800,538858.900,544180.700,248796.700,231591.900,239356.200,249498.600,0.000
286465.300,282805.300,535923.700,541289.000,247632.400,230509.400,238244.500,248339.600,0.000
285205.500,281562.300,533140.400,538548.700,246537.300,229485.700,237190.500,247242.400,0.000
283993.600,280371.600,530484.700,535934.500,245476.800,228502.300,236175.600,246191.600,0.000
282840.300,279237.800,527959.300,533447.800,244461.300,227565.200,235207.300,245190.500,0.000
281750.300,278165.500,525568.100,531092.300,243508.600,226680.800,234297.800,244244.500,0.000
280724.600,277149.900,523302.600,528860.300,242621.100,225850.400,233446.600,243354.500,0.000
279750.300,276189.300,521146.900,526738.400,241769.400,225062.800,232638.800,242511.000,0.000
278802.500,275258.500,519083.300,524701.800,240935.200,224298.300,231860.500,241697.000,0.000
277906.900,274377.100,517121.400,522772.100,240152.800,223574.600,231122.500,240921.000,0.000
277066.700,273545.600,515261.000,520943.700,239429.700,222898.000,230428.000,240191.200,0.000
276256.200,272746.000,513481.800,519187.500,238726.900,222243.500,229751.000,239488.300,0.000
275475.700,271980.500,511776.800,517509.800,238038.400,221610.000,229096.000,238814.200,0.000
274736.900,271253.300,510158.300,515925.700,237395.100,221016.600,228485.500,238183.200,0.000
274040.800,270562.500,508622.700,514420.300,236799.300,220457.400,227913.200,237584.200,0.000
273373.600,269901.100,507150.800,512977.100,236223.200,219916.800,227359.300,237003.400,0.000
272738.600,269278.400,505752.200,511603.400,235666.600,219404.100,226831.000,236454.000,0.000
272136.400,268686.800,504414.000,510291.800,235135.600,218912.900,226329.000,235930.800,0.000
271569.200,268123.800,503141.900,509045.200,234643.200,218448.000,225855.400,235434.000,0.000
271026.400,267586.400,501923.800,507850.700,234174.300,218005.100,225399.400,234957.300,0.000
270502.700,267073.100,500757.800,506704.200,233716.200,217583.200,224961.200,234506.300,0.000
270003.100,266583.300,499645.200,505614.900,233277.900,217182.500,224547.500,234078.400,0.000
269531.300,266115.800,498586.000,504579.100,232872.400,216802.500,224155.600,233668.600,0.000
269081.900,265667.600,497565.000,503585.200,232488.300,216438.800,223776.200,233271.400,0.000
268648.800,265242.400,496588.600,502628.500,232104.000,216086.700,223410.600,232892.600,0.000
268238.700,264840.400,495662.500,501720.600,231737.500,215752.500,223064.500,232532.600,0.000
267855.500,264460.800,494778.700,500857.800,231400.600,215438.300,222742.100,232194.000,0.000
267490.700,264097.500,493934.500,500035.500,231087.500,215141.000,222436.600,231870.400,0.000
267135.600,263749.500,493121.900,499239.900,230774.500,214853.800,222140.900,231563.900,0.000
266798.700,263421.900,492348.000,498486.800,230472.000,214579.100,221861.700,231277.400,0.000
266478.300,263105.300,491606.900,497768.800,230191.300,214319.000,221597.900,231006.700,0.000
266185.100,262811.900,490908.200,497086.400,229940.100,214082.700,221355.400,230749.000,0.000
265897.000,262529.200,490236.700,496426.400,229691.400,213853.000,221115.900,230499.700,0.000
265612.800,262250.900,489586.000,495787.700,229439.600,213626.200,220881.800,230256.900,0.000
265348.700,261987.100,488967.800,495186.900,229209.300,213410.700,220665.800,230031.200,0.000
265105.500,261743.200,488380.600,494621.300,229005.400,213215.400,220468.700,229820.000,0.000
264871.800,261512.500,487816.200,494075.800,228808.100,213029.600,220275.300,229619.000,0.000
264635.100,261283.800,487266.300,493545.200,228599.300,212839.500,220077.200,229419.100,0.000
264410.700,261064.300,486741.100,493038.900,228405.800,212663.600,219893.700,229228.900,0.000
264200.400,260853.200,486239.000,492555.200,228228.000,212493.500,219717.900,229043.100,0.000
264005.200,260659.100,485761.500,492087.400,228057.600,212332.500,219552.800,228869.600,0.000
263811.900,260470.800,485299.200,491637.600,227881.300,212176.700,219391.000,228705.800,0.000
263628.300,260290.700,484859.300,491212.000,227719.400,212034.500,219242.100,228548.900,0.000
263464.400,260125.500,484445.300,490812.900,227580.000,211899.000,219105.500,228401.500,0.000
263308.800,259969.800,484048.700,490427.300,227448.200,211770.600,218975.000,228263.600,0.000
263146.500,259813.300,483655.900,490044.500,227303.500,211637.000,218832.800,228121.500,0.000
262994.600,259668.500,483282.200,489687.500,227165.000,211512.300,218705.800,227989.900,0.000
262860.000,259534.300,482931.900,489355.200,227048.000,211402.000,218596.800,227873.000,0.000
262733.600,259407.200,482596.400,489035.400,226944.300,211299.800,218493.800,227762.000,0.000
262600.200,259279.300,482266.700,488715.500,226825.800,211192.700,218381.300,227648.700,0.000
262478.400,259163.700,481958.500,488417.900,226712.700,211091.300,218276.200,227544.800,0.000
262372.700,259055.200,481660.400,488141.100,226617.900,211002.400,218184.900,227449.800,0.000
262279.300,258957.400,481384.500,487875.800,226541.700,210924.500,218105.100,227364.600,0.000
262173.700,258856.300,481112.600,487609.400,226452.500,210840.000,218015.400,227274.700,0.000
262072.500,258759.900,480843.800,487351.700,226355.900,210755.700,217930.600,227185.900,0.000
261981.300,258669.900,480589.700,487112.800,226275.800,210683.200,217858.900,227110.100,0.000
261902.800,258586.800,480350.800,486889.000,226215.100,210621.900,217797.500,227042.400,0.000
261816.600,258500.500,480117.200,486667.300,226148.300,210559.500,217733.600,226976.000,0.000
261723.100,258415.100,479882.500,486444.200,226063.600,210490.800,217661.700,226905.000,0.000
261647.600,258342.200,479663.500,486242.000,225995.200,210432.200,217599.300,226840.600,0.000
261586.000,258276.800,479464.400,486057.000,225950.200,210386.300,217549.700,226788.200,0.000
261519.300,258208.200,479268.200,485866.700,225896.400,210335.000,217494.600,226731.400,0.000
261448.500,258144.300,479075.500,485678.700,225831.400,210279.700,217435.700,226670.800,0.000
261384.900,258083.900,478885.200,485501.700,225773.500,210226.900,217382.300,226614.000,0.000
261337.000,258030.300,478708.900,485338.300,225730.800,210180.400,217333.500,226562.200,0.000
261285.300,257976.800,478539.800,485177.200,225693.300,210138.400,217289.900,226515.100,0.000
261222.100,257918.800,478369.500,485008.500,225636.000,210090.200,217239.200,226462.700,0.000
261168.600,257867.500,478207.000,484853.000,225584.100,210048.100,217194.500,226416.700,0.000
261128.500,257824.500,478055.500,484713.100,225549.600,210011.000,217158.600,226375.900,0.000
261088.300,257781.900,477908.500,484572.400,225516.300,209971.700,217116.700,226332.600,0.000
261037.400,257736.900,477758.000,484433.000,225468.200,209929.700,217070.500,226290.700,0.000
260985.600,257691.000,477605.300,484297.200,225419.600,209889.900,217029.200,226250.300,0.000
260946.900,257651.900,477470.300,484176.800,225387.700,209862.600,217001.900,226221.500,0.000
260919.100,257620.000,477347.500,484064.500,225369.500,209840.300,216979.700,226197.600,0.000
260877.900,257583.200,477218.600,483944.500,225332.600,209807.200,216949.400,226167.100,0.000
260841.700,257550.400,477098.100,483834.700,225297.400,209779.900,216922.300,226135.300,0.000
260815.400,257520.100,476985.200,483731.600,225273.500,209756.700,216903.200,226110.500,0.000
260797.800,257498.900,476878.000,483633.200,225260.100,209737.300,216884.600,226089.300,0.000
260768.300,257471.600,476763.300,483527.900,225231.000,209709.900,216853.100,226062.800,0.000
260737.000,257446.900,476657.900,483429.100,225201.700,209686.500,216826.900,226039.700,0.000
260720.400,257429.900,476564.300,483343.400,225189.700,209675.300,216814.400,226021.900,0.000
260702.400,257407.300,476469.300,483256.200,225182.200,209662.400,216802.400,226004.300,0.000
260674.000,257380.300,476369.200,483161.600,225157.000,209639.700,216778.400,225979.100,0.000
260646.900,257358.500,476273.100,483072.200,225126.000,209619.000,216757.500,225959.500,0.000
260631.000,257343.100,476186.400,482993.100,225109.100,209605.700,216747.400,225949.900,0.000
260617.400,257324.500,476101.400,482913.600,225101.400,209592.000,216734.600,225936.500,0.000
260597.300,257303.300,476015.800,482831.400,225085.900,209574.300,216715.100,225920.500,0.000
260574.200,257285.000,475926.900,482749.700,225055.600,209551.900,216693.800,225904.000,0.000
260553.600,257265.900,475834.000,482670.800,225030.600,209529.200,216675.100,225883.500,0.000
260546.300,257252.900,475758.700,482606.200,225025.500,209520.400,216672.700,225874.600,0.000
260530.700,257236.000,475682.600,482530.500,225020.700,209513.500,216667.000,225864.500,0.000
260506.600,257217.500,475594.100,482452.900,224996.600,209499.500,216650.000,225847.000,0.000
260491.800,257203.400,475521.600,482385.300,224977.500,209486.600,216636.600,225833.200,0.000
260483.400,257191.300,475449.700,482325.100,224972.900,209478.600,216626.800,225823.300,0.000
260476.200,257181.300,475383.400,482266.600,224973.400,209472.800,216619.300,225814.400,0.000
260456.200,257164.300,475307.400,482192.400,224949.800,209452.900,216592.900,225790.100,0.000
260439.500,257151.500,475235.500,482127.300,224930.100,209439.100,216578.700,225775.500,0.000
260424.700,257135.700,475165.800,482063.800,224922.300,209428.200,216566.000,225757.800,0.000
260415.200,257123.200,475100.800,482005.900,224924.500,209424.900,216561.700,225750.300,0.000
260399.800,257110.000,475033.000,481942.300,224911.000,209416.500,216549.200,225739.000,0.000
260387.600,257101.000,474968.500,481887.900,224898.900,209410.900,216538.200,225732.500,0.000
260374.900,257088.300,474905.100,481833.400,224891.000,209401.800,216525.600,225723.500,0.000
260374.200,257084.200,474854.100,481789.800,224897.500,209400.000,216526.400,225722.000,0.000
260365.900,257077.000,474793.600,481731.300,224885.000,209386.700,216512.300,225705.900,0.000
260350.000,257066.900,474731.900,481674.300,224865.400,209372.200,216498.000,225691.200,0.000
260342.600,257061.700,474672.500,481628.100,224855.200,209363.100,216494.500,225686.200,0.000
260338.000,257051.300,474619.600,481580.500,224854.100,209354.100,216490.300,225680.000,0.000
260329.300,257042.600,474564.500,481526.500,224849.200,209347.600,216485.200,225675.500,0.000
260318.200,257035.500,474501.500,481471.700,224831.200,209338.500,216476.300,225670.500,0.000
260305.300,257025.000,474443.300,481422.300,224817.300,209330.800,216469.200,225662.400,0.000
260297.300,257014.900,474395.200,481379.400,224818.100,209328.100,216472.000,225662.400,0.000
260290.200,257004.700,474342.300,481331.500,224815.800,209324.000,216468.500,225655.700,0.000
260278.800,256996.800,474286.800,481278.700,224798.400,209314.300,216456.400,225647.000,0.000
260276.100,256994.400,474237.600,481239.300,224791.700,209312.300,216454.900,225646.700,0.000
260281.200,256995.300,474196.200,481202.700,224798.700,209313.500,216458.400,225646.500,0.000
260278.600,256992.800,474151.400,481162.900,224798.800,209308.200,216454.000,225638.300,0.000
260271.100,256990.400,474100.700,481118.000,224786.400,209300.800,216445.100,225632.000,0.000
260266.900,256986.900,474056.200,481077.600,224777.300,209294.500,216440.300,225631.300,0.000
260266.000,256981.100,474016.300,481041.800,224777.300,209289.000,216435.400,225627.800,0.000
260266.300,256976.000,473971.100,481004.500,224784.000,209288.300,216431.900,225621.500,0.000
260252.800,256965.000,473925.200,480961.300,224774.200,209279.900,216422.500,225614.100,0.000
260240.100,256955.500,473878.400,480915.500,224761.300,209270.200,216411.300,225603.400,0.000
260236.900,256951.500,473836.800,480873.600,224758.800,209265.500,216406.200,225596.400,0.000
260241.700,256951.700,473799.600,480839.600,224767.800,209268.000,216410.800,225594.300,0.000
